file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,libdeflate,524416,524417,288362,Scanline,298.758,552.732,851.490,265.550,true
"big-char.dds",1,7,20,libdeflate,524416,524417,364356,Z-order,153.306,538.153,691.459,575.563,true
"bricks.dds",1,7,20,libdeflate,32896,32897,26975,Scanline,5.040,500.088,505.127,285.904,true
"iscv2_u1_v1.dds",1,7,20,libdeflate,33554560,33554561,11783604,Z-order,1379.649,4674.527,6054.175,1611.293,true
"iscv2_u1_v2.dds",1,7,20,libdeflate,33554560,33554561,9648326,Z-order,1060.832,3217.873,4278.705,1164.051,true
"iscv2_u2_v1.dds",1,7,20,libdeflate,33554560,33554561,9831124,Z-order,1284.799,3994.807,5279.606,1118.707,true
"iscv2_u2_v2.dds",1,7,20,libdeflate,33554560,33554561,1116122,Z-order,568.830,516.748,1085.578,687.117,true
"iscv2_u2_v4.dds",1,7,20,libdeflate,33554560,33554561,3716565,Z-order,610.165,1422.756,2032.921,735.824,true
"iscv2_u3_v1.dds",1,7,20,libdeflate,33554560,33554561,10284166,Z-order,1023.227,3621.596,4644.823,1351.490,true
"iscv2_u4_v1.dds",1,7,20,libdeflate,33554560,33554561,10881787,Z-order,975.555,4490.287,5465.842,1318.665,true
"kodim01.dds",1,7,20,libdeflate,196736,196737,146292,Scanline,1.460,114.005,115.465,196.091,true
"kodim02.dds",1,7,20,libdeflate,196736,196737,133761,Scanline,3.800,253.748,257.548,216.454,true
"kodim03.dds",1,7,20,libdeflate,196736,196737,124642,Scanline,7.111,151.691,158.802,348.765,true
"kodim04.dds",1,7,20,libdeflate,196736,196737,143276,Scanline,61.850,266.421,328.271,130.601,true
"kodim05.dds",1,7,20,libdeflate,196736,196737,159598,Scanline,2.126,110.052,112.178,143.746,true
"kodim06.dds",1,7,20,libdeflate,196736,196737,136318,Scanline,4.275,127.392,131.668,142.315,true
"kodim07.dds",1,7,20,libdeflate,196736,196737,131167,Scanline,3.559,101.719,105.279,151.702,true
"kodim08.dds",1,7,20,libdeflate,196736,196737,159148,Scanline,3.368,107.459,110.827,159.402,true
"kodim09.dds",1,7,20,libdeflate,196736,196737,129761,Scanline,2.400,176.739,179.139,105.074,true
"kodim10.dds",1,7,20,libdeflate,196736,196737,137986,Scanline,3.066,170.697,173.763,152.415,true
"kodim11.dds",1,7,20,libdeflate,196736,196737,139869,Scanline,1.865,121.901,123.766,198.335,true
"kodim12.dds",1,7,20,libdeflate,196736,196737,128360,Scanline,15.267,136.526,151.794,112.760,true
"kodim13.dds",1,7,20,libdeflate,196736,196737,161615,Scanline,2.979,172.217,175.196,138.463,true
"kodim14.dds",1,7,20,libdeflate,196736,196737,150781,Scanline,1.412,161.584,162.996,120.903,true
"kodim15.dds",1,7,20,libdeflate,196736,196737,137228,Scanline,2.057,81.904,83.962,116.465,true
"kodim16.dds",1,7,20,libdeflate,196736,196737,126091,Scanline,1.738,138.034,139.772,108.075,true
"kodim17.dds",1,7,20,libdeflate,196736,196737,139617,Scanline,9.198,146.834,156.033,154.584,true
"kodim18.dds",1,7,20,libdeflate,196736,196737,159436,Scanline,1.753,120.707,122.461,145.592,true
"kodim19.dds",1,7,20,libdeflate,196736,196737,139930,Scanline,4.234,116.947,121.181,349.890,true
"kodim20.dds",1,7,20,libdeflate,196736,196737,117601,Scanline,1.713,117.681,119.393,128.241,true
"kodim21.dds",1,7,20,libdeflate,196736,196737,139186,Scanline,3.224,115.116,118.340,131.863,true
"kodim22.dds",1,7,20,libdeflate,196736,196737,154179,Scanline,5.035,141.525,146.559,251.009,true
"kodim23.dds",1,7,20,libdeflate,196736,196737,143749,Scanline,10.609,113.316,123.925,141.179,true
"kodim24.dds",1,7,20,libdeflate,196736,196737,147000,Scanline,9.309,163.546,172.855,822.492,true
"lorikeet.dds",1,7,20,libdeflate,131200,131201,109771,Z-order,17.606,147.078,164.684,136.857,true
"mountains.dds",1,7,20,libdeflate,32896,32897,18322,Z-order,1.722,182.787,184.509,333.581,true
"satellite.dds",1,7,20,libdeflate,32896,32897,27950,Scanline,4.473,193.054,197.527,169.123,true
"small-char.dds",1,7,20,libdeflate,131200,131201,72724,Z-order,25.624,98.941,124.565,92.750,true
"spnza_bricks_a_diff.dds",1,7,20,libdeflate,524416,524417,371725,Scanline,85.389,173.961,259.350,182.492,true
"sponza_arch_diff.dds",1,7,20,libdeflate,524416,524417,294449,Scanline,10.886,181.440,192.326,282.885,true
"sponza_ceiling_a_diff.dds",1,7,20,libdeflate,524416,524417,366949,Z-order,11.243,117.902,129.145,116.421,true
"sponza_column_a_diff.dds",1,7,20,libdeflate,524416,524417,372612,Scanline,17.185,325.294,342.480,81.491,true
"sponza_column_b_diff.dds",1,7,20,libdeflate,524416,524417,393484,Scanline,14.101,96.460,110.561,96.759,true
"sponza_column_c_diff.dds",1,7,20,libdeflate,524416,524417,399315,Scanline,7.003,86.360,93.363,64.820,true
"sponza_curtain_diff.dds",1,7,20,libdeflate,2097280,2097281,1510060,Scanline,44.914,265.419,310.333,1120.317,true
"sponza_details_diff.dds",1,7,20,libdeflate,524416,524417,320737,Z-order,15.904,234.876,250.780,161.181,true
"sponza_fabric_green_diff.dds",1,7,20,libdeflate,524416,524417,325823,Scanline,30.238,234.728,264.966,238.060,true
"sponza_flagpole_diff.dds",1,7,20,libdeflate,524416,524417,290666,Z-order,8.378,96.884,105.262,235.030,true
"sponza_floor_a_diff.dds",1,7,20,libdeflate,524416,524417,367043,Scanline,19.055,183.088,202.142,191.246,true
"sponza_roof_diff.dds",1,7,20,libdeflate,524416,524417,442637,Scanline,12.429,114.285,126.714,149.489,true
"un512.dds",1,7,20,libdeflate,131200,131201,102630,Scanline,2.660,167.188,169.848,120.877,true
"vase_dif.dds",1,7,20,libdeflate,524416,524417,383352,Z-order,19.192,296.370,315.562,871.846,true
"vase_hanging.dds",1,7,20,libdeflate,524416,524417,292126,Scanline,7.545,230.677,238.222,173.870,true
"vase_round.dds",1,7,20,libdeflate,524416,524417,370773,Scanline,18.271,176.323,194.594,149.380,true
"vector-streets.dds",1,7,20,libdeflate,32896,32897,7632,Z-order,5.138,130.026,135.164,133.502,true
