file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"background.dds",1,7,20,libdeflate,524416,288362,1.818603,215.376,409.894,625.270,718.390,true
"big-char.dds",1,7,20,libdeflate,524416,364356,1.439296,58.214,331.140,389.354,346.993,true
"bricks.dds",1,7,20,libdeflate,32896,26975,1.219500,72.576,529.758,602.334,1236.765,true
"iscv2_u1_v1.dds",1,7,20,libdeflate,33554560,11783604,2.847563,1297.021,3652.764,4949.785,2118.500,true
"iscv2_u1_v2.dds",1,7,20,libdeflate,33554560,9648326,3.477760,1012.980,3886.059,4899.039,1164.655,true
"iscv2_u2_v1.dds",1,7,20,libdeflate,33554560,9831124,3.413095,1006.293,3242.895,4249.188,1304.478,true
"iscv2_u2_v2.dds",1,7,20,libdeflate,33554560,1116122,30.063524,586.147,2092.143,2678.290,941.458,true
"iscv2_u2_v4.dds",1,7,20,libdeflate,33554560,3716565,9.028380,1019.432,1636.379,2655.811,1833.970,true
"iscv2_u3_v1.dds",1,7,20,libdeflate,33554560,10284166,3.262740,1148.884,3678.486,4827.369,1522.526,true
"iscv2_u4_v1.dds",1,7,20,libdeflate,33554560,10881787,3.083552,2441.131,3234.131,5675.263,1128.792,true
"kodim01.dds",1,7,20,libdeflate,196736,146292,1.344817,12.226,128.220,140.446,137.540,true
"kodim02.dds",1,7,20,libdeflate,196736,133761,1.470802,8.583,133.600,142.182,112.996,true
"kodim03.dds",1,7,20,libdeflate,196736,124642,1.578409,1.578,156.747,158.325,107.588,true
"kodim04.dds",1,7,20,libdeflate,196736,143276,1.373126,1.818,114.513,116.331,104.788,true
"kodim05.dds",1,7,20,libdeflate,196736,159598,1.232697,1.601,120.473,122.074,117.507,true
"kodim06.dds",1,7,20,libdeflate,196736,136318,1.443214,8.137,143.056,151.194,110.776,true
"kodim07.dds",1,7,20,libdeflate,196736,131167,1.499889,1.550,114.668,116.218,87.338,true
"kodim08.dds",1,7,20,libdeflate,196736,159148,1.236183,1.863,132.342,134.205,464.777,true
"kodim09.dds",1,7,20,libdeflate,196736,129761,1.516141,1.656,86.863,88.519,199.588,true
"kodim10.dds",1,7,20,libdeflate,196736,137986,1.425768,2.593,143.599,146.192,118.867,true
"kodim11.dds",1,7,20,libdeflate,196736,139869,1.406573,2.072,239.628,241.701,165.119,true
