file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"background.dds",1,7,20,miniz,524416,288362,1.818603,258.460,855.525,1113.985,513.744,true
"big-char.dds",1,7,20,miniz,524416,364356,1.439296,297.328,275.286,572.614,462.493,true
"bricks.dds",1,7,20,miniz,32896,27026,1.217198,30.749,234.289,265.037,746.092,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,11783604,2.847563,1882.946,4807.953,6690.900,5044.311,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,9648326,3.477760,6787.899,12208.857,18996.756,8936.777,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,9831124,3.413095,5487.244,11807.999,17295.242,6574.079,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,1116122,30.063524,2534.528,4722.937,7257.465,5165.741,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,3716565,9.028380,2568.434,5063.820,7632.253,2787.749,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,10284166,3.262740,3059.860,12878.077,15937.936,9200.398,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,10881787,3.083552,4216.329,9268.216,13484.544,7376.534,true
"kodim01.dds",1,7,20,miniz,196736,146292,1.344817,1.698,250.258,251.956,479.362,true
"kodim02.dds",1,7,20,miniz,196736,133761,1.470802,3.841,229.347,233.188,158.223,true
"kodim03.dds",1,7,20,miniz,196736,124642,1.578409,16.948,142.754,159.702,460.435,true
"kodim04.dds",1,7,20,miniz,196736,143276,1.373126,14.550,309.784,324.334,435.036,true
"kodim05.dds",1,7,20,miniz,196736,159598,1.232697,45.347,219.878,265.225,184.371,true
"kodim06.dds",1,7,20,miniz,196736,136318,1.443214,1.179,167.762,168.940,184.070,true
"kodim07.dds",1,7,20,miniz,196736,131167,1.499889,12.053,173.479,185.532,249.445,true
"kodim08.dds",1,7,20,miniz,196736,159148,1.236183,3.154,232.932,236.086,221.522,true
"kodim09.dds",1,7,20,miniz,196736,129761,1.516141,2.895,224.032,226.927,239.086,true
"kodim10.dds",1,7,20,miniz,196736,137986,1.425768,2.656,228.774,231.431,307.940,true
"kodim11.dds",1,7,20,miniz,196736,139869,1.406573,434.447,500.347,934.794,252.923,true
"kodim12.dds",1,7,20,miniz,196736,128360,1.532689,3.924,217.476,221.399,198.486,true
"kodim13.dds",1,7,20,miniz,196736,161615,1.217313,4.721,318.023,322.744,197.223,true
"kodim14.dds",1,7,20,miniz,196736,150781,1.304780,5.734,431.191,436.925,315.911,true
"kodim15.dds",1,7,20,miniz,196736,137228,1.433643,4.366,128.441,132.807,185.777,true
"kodim16.dds",1,7,20,miniz,196736,126091,1.560270,1.526,154.404,155.930,232.185,true
"kodim17.dds",1,7,20,miniz,196736,139617,1.409112,4.460,274.002,278.463,198.769,true
"kodim18.dds",1,7,20,miniz,196736,159436,1.233950,1.514,251.272,252.786,274.986,true
"kodim19.dds",1,7,20,miniz,196736,139930,1.405960,5.508,186.248,191.756,167.792,true
"kodim20.dds",1,7,20,miniz,196736,117601,1.672911,4.644,131.202,135.846,152.082,true
"kodim21.dds",1,7,20,miniz,196736,139186,1.413475,4.892,132.653,137.545,213.042,true
"kodim22.dds",1,7,20,miniz,196736,154179,1.276023,5.467,142.090,147.557,131.878,true
"kodim23.dds",1,7,20,miniz,196736,143749,1.368608,2.415,127.425,129.840,139.605,true
"kodim24.dds",1,7,20,miniz,196736,147000,1.338340,14.425,1202.247,1216.672,830.845,true
"lorikeet.dds",1,7,20,miniz,131200,109771,1.195215,28.230,151.179,179.409,241.805,true
"mountains.dds",1,7,20,miniz,32896,18322,1.795437,1.395,259.083,260.478,988.456,true
"satellite.dds",1,7,20,miniz,32896,27950,1.176959,2.254,270.140,272.394,243.619,true
