file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,miniz,524416,524417,288362,Scanline,92.132,348.061,440.193,432.906,true
"big-char.dds",1,7,20,miniz,524416,524417,364356,Z-order,42.327,460.116,502.443,630.119,true
"bricks.dds",1,7,20,miniz,32896,32897,27026,Z-order,335.253,732.048,1067.301,293.055,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,33554561,11783604,Z-order,1980.394,4265.519,6245.913,1310.891,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,33554561,9648326,Z-order,1462.377,3541.658,5004.035,1194.803,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,33554561,9831124,Z-order,1315.213,2920.249,4235.462,1033.130,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,33554561,1116122,Z-order,909.812,824.903,1734.715,1031.861,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,33554561,3716565,Z-order,1654.673,2007.336,3662.009,1152.893,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,33554561,10284166,Z-order,2343.193,2697.921,5041.114,866.493,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,33554561,10881787,Z-order,724.035,1226.806,1950.841,2370.010,true
"kodim01.dds",1,7,20,miniz,196736,196737,146292,Scanline,237.606,4627.195,4864.801,6534.652,true
"kodim02.dds",1,7,20,miniz,196736,196737,133761,Scanline,70.006,656.043,726.049,405.909,true
"kodim03.dds",1,7,20,miniz,196736,196737,124642,Scanline,1.488,146.928,148.416,105.733,true
"kodim04.dds",1,7,20,miniz,196736,196737,143276,Scanline,1.595,632.054,633.649,352.270,true
"kodim05.dds",1,7,20,miniz,196736,196737,159598,Scanline,6.022,102.880,108.902,180.247,true
"kodim06.dds",1,7,20,miniz,196736,196737,136318,Scanline,27.245,161.980,189.224,60.188,true
"kodim07.dds",1,7,20,miniz,196736,196737,131167,Scanline,1.612,101.211,102.823,86.287,true
"kodim08.dds",1,7,20,miniz,196736,196737,159148,Scanline,1.754,86.213,87.968,100.820,true
"kodim09.dds",1,7,20,miniz,196736,196737,129761,Scanline,9.804,65.763,75.567,73.844,true
"kodim10.dds",1,7,20,miniz,196736,196737,137986,Scanline,1.911,111.255,113.167,75.338,true
"kodim11.dds",1,7,20,miniz,196736,196737,139869,Scanline,1.357,68.042,69.399,119.022,true
"kodim12.dds",1,7,20,miniz,196736,196737,128360,Scanline,1.381,87.989,89.370,95.767,true
"kodim13.dds",1,7,20,miniz,196736,196737,161615,Scanline,1.396,90.977,92.373,64.185,true
"kodim14.dds",1,7,20,miniz,196736,196737,150781,Scanline,4.291,139.604,143.895,62.197,true
"kodim15.dds",1,7,20,miniz,196736,196737,137228,Scanline,1.368,147.614,148.981,106.735,true
"kodim16.dds",1,7,20,miniz,196736,196737,126091,Scanline,1.502,171.007,172.509,96.833,true
"kodim17.dds",1,7,20,miniz,196736,196737,139617,Scanline,2.033,104.318,106.351,84.600,true
"kodim18.dds",1,7,20,miniz,196736,196737,159436,Scanline,1.503,78.796,80.299,87.395,true
"kodim19.dds",1,7,20,miniz,196736,196737,139930,Scanline,1.575,61.641,63.216,57.992,true
"kodim20.dds",1,7,20,miniz,196736,196737,117601,Scanline,1.478,53.365,54.843,161.596,true
"kodim21.dds",1,7,20,miniz,196736,196737,139186,Scanline,12.280,96.082,108.363,105.867,true
"kodim22.dds",1,7,20,miniz,196736,196737,154179,Scanline,12.099,87.682,99.781,98.803,true
"kodim23.dds",1,7,20,miniz,196736,196737,143749,Scanline,1.440,75.909,77.349,61.055,true
"kodim24.dds",1,7,20,miniz,196736,196737,147000,Scanline,1.474,163.605,165.079,102.365,true
"lorikeet.dds",1,7,20,miniz,131200,131201,109771,Z-order,4.255,115.730,119.984,70.501,true
"mountains.dds",1,7,20,miniz,32896,32897,18322,Z-order,1.226,218.153,219.378,170.056,true
"satellite.dds",1,7,20,miniz,32896,32897,27950,Scanline,1.877,78.276,80.152,73.445,true
"small-char.dds",1,7,20,miniz,131200,131201,72724,Z-order,4.774,114.572,119.346,62.714,true
"spnza_bricks_a_diff.dds",1,7,20,miniz,524416,524417,371725,Scanline,10.800,85.416,96.216,89.080,true
"sponza_arch_diff.dds",1,7,20,miniz,524416,524417,294449,Scanline,16.610,133.238,149.848,99.358,true
"sponza_ceiling_a_diff.dds",1,7,20,miniz,524416,524417,366949,Z-order,32.493,100.937,133.430,181.164,true
"sponza_column_a_diff.dds",1,7,20,miniz,524416,524417,372612,Scanline,17.638,580.928,598.566,197.656,true
"sponza_column_b_diff.dds",1,7,20,miniz,524416,524417,393484,Scanline,24.288,182.914,207.201,162.210,true
"sponza_column_c_diff.dds",1,7,20,miniz,524416,524417,399315,Scanline,42.085,123.767,165.852,109.112,true
"sponza_curtain_diff.dds",1,7,20,miniz,2097280,2097281,1510060,Scanline,118.167,280.500,398.667,150.969,true
"sponza_details_diff.dds",1,7,20,miniz,524416,524417,320737,Z-order,12.616,127.296,139.912,116.893,true
"sponza_fabric_green_diff.dds",1,7,20,miniz,524416,524417,325823,Scanline,19.621,150.428,170.049,177.182,true
"sponza_flagpole_diff.dds",1,7,20,miniz,524416,524417,290666,Z-order,22.609,134.580,157.190,182.267,true
"sponza_floor_a_diff.dds",1,7,20,miniz,524416,524417,367043,Scanline,118.671,148.709,267.380,92.677,true
"sponza_roof_diff.dds",1,7,20,miniz,524416,524417,442637,Scanline,12.540,101.470,114.011,103.608,true
"un512.dds",1,7,20,miniz,131200,131201,102630,Scanline,2.705,80.634,83.339,118.209,true
"vase_dif.dds",1,7,20,miniz,524416,524417,383352,Z-order,32.482,89.841,122.322,113.230,true
"vase_hanging.dds",1,7,20,miniz,524416,524417,292126,Scanline,33.895,141.667,175.562,69.904,true
"vase_round.dds",1,7,20,miniz,524416,524417,370773,Scanline,8.138,100.352,108.490,81.790,true
"vector-streets.dds",1,7,20,miniz,32896,32897,7632,Z-order,1.361,71.662,73.023,67.208,true
