file,sample_percent,runs,selected_method,original_bytes,compressed_bytes,compressed_percent,preprocess_avg_ms,secondary_avg_ms,total_encode_avg_ms,total_decode_avg_ms,matches_100_percent,all_verified
"background.dds",100,5,Scanline,524416,288362,54.987262,121.801,239.647,361.448,294.040,true,true
"background.dds",20,5,Scanline,524416,288362,54.987262,85.580,352.330,437.910,696.800,true,true
"background.dds",10,5,Z-order,524416,292891,55.850889,55.960,317.225,373.185,398.151,false,true
"big-char.dds",100,5,Z-order,524416,364356,69.478429,151.691,322.057,473.748,358.500,true,true
"big-char.dds",20,5,Z-order,524416,364356,69.478429,61.957,287.170,349.127,392.047,true,true
"big-char.dds",10,5,Z-order,524416,364356,69.478429,47.219,302.443,349.663,324.130,true,true
"bricks.dds",100,5,Scanline,32896,26975,82.000851,62.360,290.693,353.053,221.181,true,true
"bricks.dds",20,5,Z-order,32896,27026,82.155885,23.553,226.269,249.822,530.898,false,true
"bricks.dds",10,5,Z-order,32896,27026,82.155885,39.774,191.001,230.774,306.414,false,true
"iscv2_u1_v1.dds",100,5,Z-order,33554560,11783604,35.117743,6195.243,4317.036,10512.279,2847.106,true,true
"iscv2_u1_v1.dds",20,5,Z-order,33554560,11783604,35.117743,2007.515,4094.977,6102.491,2531.763,true,true
"iscv2_u1_v1.dds",10,5,Z-order,33554560,11783604,35.117743,1723.566,4061.529,5785.095,2017.976,true,true
"iscv2_u1_v2.dds",100,5,Z-order,33554560,9648326,28.754143,5705.355,3924.493,9629.848,2192.677,true,true
"iscv2_u1_v2.dds",20,5,Z-order,33554560,9648326,28.754143,2358.089,3891.278,6249.367,1581.795,true,true
"iscv2_u1_v2.dds",10,5,Z-order,33554560,9648326,28.754143,1472.506,3714.810,5187.316,2100.228,true,true
"iscv2_u2_v1.dds",100,5,Z-order,33554560,9831124,29.298921,5769.933,3617.889,9387.823,1633.856,true,true
"iscv2_u2_v1.dds",20,5,Z-order,33554560,9831124,29.298921,1899.476,3524.597,5424.072,1342.613,true,true
"iscv2_u2_v1.dds",10,5,Z-order,33554560,9831124,29.298921,1481.138,4089.650,5570.788,2096.077,true,true
"iscv2_u2_v2.dds",100,5,Z-order,33554560,1116122,3.326290,1401.852,799.510,2201.362,804.302,true,true
"iscv2_u2_v2.dds",20,5,Z-order,33554560,1116122,3.326290,905.292,718.957,1624.248,912.148,true,true
"iscv2_u2_v2.dds",10,5,Z-order,33554560,1116122,3.326290,743.959,656.374,1400.333,818.460,true,true
"iscv2_u2_v4.dds",100,5,Z-order,33554560,3716565,11.076185,2889.020,1794.733,4683.753,1635.094,true,true
"iscv2_u2_v4.dds",20,5,Z-order,33554560,3716565,11.076185,1482.798,1932.448,3415.246,1132.071,true,true
"iscv2_u2_v4.dds",10,5,Z-order,33554560,3716565,11.076185,1050.818,1930.965,2981.783,1036.811,true,true
"iscv2_u3_v1.dds",100,5,Z-order,33554560,10284166,30.649086,3828.964,2207.044,6036.007,895.716,true,true
"iscv2_u3_v1.dds",20,5,Z-order,33554560,10284166,30.649086,1111.458,2042.062,3153.520,752.280,true,true
"iscv2_u3_v1.dds",10,5,Z-order,33554560,10284166,30.649086,958.449,2032.823,2991.272,747.396,true,true
"iscv2_u4_v1.dds",100,5,Z-order,33554560,10881787,32.430129,2408.583,1455.061,3863.644,676.777,true,true
"iscv2_u4_v1.dds",20,5,Z-order,33554560,10881787,32.430129,718.850,1441.833,2160.683,600.225,true,true
"iscv2_u4_v1.dds",10,5,Z-order,33554560,10881787,32.430129,497.870,1432.148,1930.018,631.907,true,true
"kodim01.dds",100,5,Scanline,196736,146292,74.359548,1.206,67.473,68.679,62.580,true,true
"kodim01.dds",20,5,Scanline,196736,146292,74.359548,2.000,67.143,69.143,59.203,true,true
"kodim01.dds",10,5,Scanline,196736,146292,74.359548,1.287,104.613,105.900,64.476,true,true
"kodim02.dds",100,5,Scanline,196736,133761,67.990098,2.522,99.520,102.043,68.596,true,true
"kodim02.dds",20,5,Scanline,196736,133761,67.990098,4.147,94.909,99.056,80.051,true,true
"kodim02.dds",10,5,Scanline,196736,133761,67.990098,2.850,87.145,89.995,75.388,true,true
"kodim03.dds",100,5,Scanline,196736,124642,63.354953,1.248,71.206,72.454,64.550,true,true
