file,sample_percent,run,selected_method,original_bytes,compressed_bytes,compressed_percent,preprocess_ms,secondary_ms,total_encode_ms,total_decode_ms,verified
"background.dds",20,1,Scanline,524416,288362,54.987262,65.828,447.490,513.318,421.826,true
"background.dds",10,1,Z-order,524416,292891,55.850889,63.290,266.735,330.024,251.692,true
"background.dds",100,1,Scanline,524416,288362,54.987262,148.718,279.030,427.747,137.475,true
"background.dds",10,2,Z-order,524416,292891,55.850889,39.787,378.212,418.000,501.108,true
"background.dds",100,2,Scanline,524416,288362,54.987262,69.924,340.264,410.189,329.294,true
"background.dds",20,2,Scanline,524416,288362,54.987262,11.615,237.944,249.560,1116.154,true
"background.dds",100,3,Scanline,524416,288362,54.987262,99.855,203.980,303.835,478.628,true
"background.dds",20,3,Scanline,524416,288362,54.987262,174.875,211.055,385.930,568.214,true
"background.dds",10,3,Z-order,524416,292891,55.850889,154.656,383.305,537.961,331.120,true
"background.dds",20,4,Scanline,524416,288362,54.987262,74.071,161.549,235.620,99.880,true
"background.dds",10,4,Z-order,524416,292891,55.850889,13.604,195.816,209.420,258.870,true
"background.dds",100,4,Scanline,524416,288362,54.987262,109.840,182.464,292.305,98.178,true
"background.dds",10,5,Z-order,524416,292891,55.850889,8.466,362.056,370.522,647.967,true
"background.dds",100,5,Scanline,524416,288362,54.987262,180.670,192.496,373.167,426.627,true
"background.dds",20,5,Scanline,524416,288362,54.987262,101.511,703.611,805.122,1277.928,true
"big-char.dds",10,1,Z-order,524416,364356,69.478429,46.570,350.517,397.087,188.107,true
"big-char.dds",100,1,Z-order,524416,364356,69.478429,148.709,191.196,339.905,263.435,true
"big-char.dds",20,1,Z-order,524416,364356,69.478429,82.950,308.693,391.643,387.926,true
"big-char.dds",100,2,Z-order,524416,364356,69.478429,71.904,212.929,284.833,389.575,true
"big-char.dds",20,2,Z-order,524416,364356,69.478429,112.745,234.897,347.642,165.316,true
"big-char.dds",10,2,Z-order,524416,364356,69.478429,27.718,146.339,174.058,170.220,true
"big-char.dds",20,3,Z-order,524416,364356,69.478429,25.128,439.060,464.187,663.001,true
"big-char.dds",10,3,Z-order,524416,364356,69.478429,102.140,399.577,501.718,269.780,true
"big-char.dds",100,3,Z-order,524416,364356,69.478429,240.568,465.512,706.080,643.677,true
"big-char.dds",10,4,Z-order,524416,364356,69.478429,21.619,311.177,332.795,544.681,true
"big-char.dds",100,4,Z-order,524416,364356,69.478429,193.529,413.633,607.163,143.406,true
"big-char.dds",20,4,Z-order,524416,364356,69.478429,29.413,136.851,166.263,502.550,true
"big-char.dds",100,5,Z-order,524416,364356,69.478429,103.743,327.015,430.759,352.404,true
"big-char.dds",20,5,Z-order,524416,364356,69.478429,59.552,316.349,375.901,241.445,true
"big-char.dds",10,5,Z-order,524416,364356,69.478429,38.049,304.607,342.656,447.861,true
"bricks.dds",100,1,Scanline,32896,26975,82.000851,29.705,130.595,160.300,104.417,true
"bricks.dds",20,1,Z-order,32896,27026,82.155885,1.909,292.544,294.454,1008.245,true
"bricks.dds",10,1,Z-order,32896,27026,82.155885,121.886,268.379,390.265,408.487,true
"bricks.dds",20,2,Z-order,32896,27026,82.155885,77.181,251.535,328.716,695.348,true
"bricks.dds",10,2,Z-order,32896,27026,82.155885,1.324,116.744,118.069,189.042,true
"bricks.dds",100,2,Scanline,32896,26975,82.000851,54.991,448.327,503.318,293.002,true
"bricks.dds",10,3,Z-order,32896,27026,82.155885,9.234,269.129,278.362,231.087,true
"bricks.dds",100,3,Scanline,32896,26975,82.000851,160.464,337.949,498.413,218.339,true
"bricks.dds",20,3,Z-order,32896,27026,82.155885,20.500,162.802,183.301,201.823,true
"bricks.dds",100,4,Scanline,32896,26975,82.000851,63.089,297.187,360.277,196.355,true
"bricks.dds",20,4,Z-order,32896,27026,82.155885,2.074,213.730,215.803,538.406,true
"bricks.dds",10,4,Z-order,32896,27026,82.155885,12.440,114.303,126.743,443.154,true
"bricks.dds",20,5,Z-order,32896,27026,82.155885,16.099,210.735,226.834,210.666,true
"bricks.dds",10,5,Z-order,32896,27026,82.155885,53.984,186.448,240.433,260.298,true
"bricks.dds",100,5,Scanline,32896,26975,82.000851,3.550,239.405,242.955,293.795,true
"iscv2_u1_v1.dds",20,1,Z-order,33554560,11783604,35.117743,2017.917,4166.261,6184.178,3331.599,true
"iscv2_u1_v1.dds",10,1,Z-order,33554560,11783604,35.117743,2116.593,3957.649,6074.241,2550.462,true
"iscv2_u1_v1.dds",100,1,Z-order,33554560,11783604,35.117743,6125.078,4701.975,10827.053,2174.398,true
"iscv2_u1_v1.dds",10,2,Z-order,33554560,11783604,35.117743,1479.225,3569.622,5048.848,2281.858,true
"iscv2_u1_v1.dds",100,2,Z-order,33554560,11783604,35.117743,6802.414,4896.908,11699.322,2638.138,true
"iscv2_u1_v1.dds",20,2,Z-order,33554560,11783604,35.117743,1629.626,4467.333,6096.959,2272.920,true
"iscv2_u1_v1.dds",100,3,Z-order,33554560,11783604,35.117743,5876.100,4091.440,9967.540,2672.155,true
"iscv2_u1_v1.dds",20,3,Z-order,33554560,11783604,35.117743,2757.834,3723.698,6481.532,1733.025,true
"iscv2_u1_v1.dds",10,3,Z-order,33554560,11783604,35.117743,1528.367,3102.505,4630.872,1667.822,true
"iscv2_u1_v1.dds",20,4,Z-order,33554560,11783604,35.117743,1620.223,4049.333,5669.556,2097.277,true
"iscv2_u1_v1.dds",10,4,Z-order,33554560,11783604,35.117743,1534.574,3600.435,5135.009,1678.391,true
"iscv2_u1_v1.dds",100,4,Z-order,33554560,11783604,35.117743,5545.785,3770.776,9316.561,4026.890,true
"iscv2_u1_v1.dds",10,5,Z-order,33554560,11783604,35.117743,1959.073,6077.434,8036.507,1911.346,true
"iscv2_u1_v1.dds",100,5,Z-order,33554560,11783604,35.117743,6626.838,4124.078,10750.917,2723.948,true
"iscv2_u1_v1.dds",20,5,Z-order,33554560,11783604,35.117743,2011.973,4068.258,6080.231,3223.992,true
"iscv2_u1_v2.dds",10,1,Z-order,33554560,9648326,28.754143,2602.416,5696.927,8299.343,3063.211,true
"iscv2_u1_v2.dds",100,1,Z-order,33554560,9648326,28.754143,6259.032,5280.288,11539.320,4360.860,true
"iscv2_u1_v2.dds",20,1,Z-order,33554560,9648326,28.754143,3463.945,5093.357,8557.302,2397.853,true
"iscv2_u1_v2.dds",100,2,Z-order,33554560,9648326,28.754143,5174.204,3207.013,8381.218,1829.702,true
"iscv2_u1_v2.dds",20,2,Z-order,33554560,9648326,28.754143,1452.974,3564.756,5017.730,1123.497,true
"iscv2_u1_v2.dds",10,2,Z-order,33554560,9648326,28.754143,1050.645,3308.520,4359.165,1114.837,true
"iscv2_u1_v2.dds",20,3,Z-order,33554560,9648326,28.754143,1698.359,3115.017,4813.375,1439.698,true
"iscv2_u1_v2.dds",10,3,Z-order,33554560,9648326,28.754143,1222.867,3159.162,4382.029,2616.621,true
"iscv2_u1_v2.dds",100,3,Z-order,33554560,9648326,28.754143,5259.087,3642.255,8901.342,1735.122,true
"iscv2_u1_v2.dds",10,4,Z-order,33554560,9648326,28.754143,1373.780,3137.763,4511.542,2363.324,true
"iscv2_u1_v2.dds",100,4,Z-order,33554560,9648326,28.754143,6059.292,3286.084,9345.376,1651.704,true
"iscv2_u1_v2.dds",20,4,Z-order,33554560,9648326,28.754143,3822.251,4878.651,8700.902,1498.183,true
"iscv2_u1_v2.dds",100,5,Z-order,33554560,9648326,28.754143,5775.158,4206.825,9981.983,1385.997,true
"iscv2_u1_v2.dds",20,5,Z-order,33554560,9648326,28.754143,1352.915,2804.612,4157.527,1449.744,true
"iscv2_u1_v2.dds",10,5,Z-order,33554560,9648326,28.754143,1112.823,3271.680,4384.503,1343.149,true
"iscv2_u2_v1.dds",100,1,Z-order,33554560,9831124,29.298921,5355.082,2690.860,8045.942,1282.623,true
"iscv2_u2_v1.dds",20,1,Z-order,33554560,9831124,29.298921,2919.521,4132.060,7051.581,1624.481,true
"iscv2_u2_v1.dds",10,1,Z-order,33554560,9831124,29.298921,1072.587,3504.960,4577.547,1950.803,true
"iscv2_u2_v1.dds",20,2,Z-order,33554560,9831124,29.298921,1939.386,4011.155,5950.541,1449.832,true
"iscv2_u2_v1.dds",10,2,Z-order,33554560,9831124,29.298921,1507.236,4678.695,6185.931,1567.008,true
"iscv2_u2_v1.dds",100,2,Z-order,33554560,9831124,29.298921,5683.167,5994.607,11677.774,3232.024,true
"iscv2_u2_v1.dds",10,3,Z-order,33554560,9831124,29.298921,2327.359,4235.493,6562.852,1846.976,true
"iscv2_u2_v1.dds",100,3,Z-order,33554560,9831124,29.298921,7202.131,3481.552,10683.684,1402.316,true
"iscv2_u2_v1.dds",20,3,Z-order,33554560,9831124,29.298921,1855.241,3367.190,5222.431,1359.526,true
"iscv2_u2_v1.dds",100,4,Z-order,33554560,9831124,29.298921,4240.057,2690.794,6930.851,1018.095,true
"iscv2_u2_v1.dds",20,4,Z-order,33554560,9831124,29.298921,1296.050,2980.226,4276.276,1128.314,true
"iscv2_u2_v1.dds",10,4,Z-order,33554560,9831124,29.298921,1250.044,3240.897,4490.941,1000.021,true
"iscv2_u2_v1.dds",20,5,Z-order,33554560,9831124,29.298921,1487.181,3132.352,4619.533,1150.913,true
"iscv2_u2_v1.dds",10,5,Z-order,33554560,9831124,29.298921,1248.462,4788.205,6036.667,4115.575,true
"iscv2_u2_v1.dds",100,5,Z-order,33554560,9831124,29.298921,6369.229,3231.635,9600.863,1234.223,true
"iscv2_u2_v2.dds",20,1,Z-order,33554560,1116122,3.326290,1124.393,831.420,1955.813,1082.397,true
"iscv2_u2_v2.dds",10,1,Z-order,33554560,1116122,3.326290,932.064,1202.384,2134.447,1002.525,true
"iscv2_u2_v2.dds",100,1,Z-order,33554560,1116122,3.326290,1482.281,685.456,2167.737,845.455,true
"iscv2_u2_v2.dds",10,2,Z-order,33554560,1116122,3.326290,823.136,442.957,1266.093,845.557,true
"iscv2_u2_v2.dds",100,2,Z-order,33554560,1116122,3.326290,1476.041,492.737,1968.777,771.598,true
"iscv2_u2_v2.dds",20,2,Z-order,33554560,1116122,3.326290,719.980,873.196,1593.176,875.275,true
"iscv2_u2_v2.dds",100,3,Z-order,33554560,1116122,3.326290,1564.749,1230.676,2795.425,788.663,true
"iscv2_u2_v2.dds",20,3,Z-order,33554560,1116122,3.326290,898.444,552.998,1451.443,633.009,true
"iscv2_u2_v2.dds",10,3,Z-order,33554560,1116122,3.326290,608.150,547.000,1155.149,681.720,true
"iscv2_u2_v2.dds",20,4,Z-order,33554560,1116122,3.326290,1011.108,750.928,1762.037,1098.180,true
"iscv2_u2_v2.dds",10,4,Z-order,33554560,1116122,3.326290,716.194,598.748,1314.941,694.336,true
"iscv2_u2_v2.dds",100,4,Z-order,33554560,1116122,3.326290,1264.253,563.645,1827.898,649.096,true
"iscv2_u2_v2.dds",10,5,Z-order,33554560,1116122,3.326290,640.251,490.783,1131.034,868.162,true
"iscv2_u2_v2.dds",100,5,Z-order,33554560,1116122,3.326290,1221.939,1025.035,2246.974,966.697,true
"iscv2_u2_v2.dds",20,5,Z-order,33554560,1116122,3.326290,772.532,586.241,1358.773,871.877,true
"iscv2_u2_v4.dds",10,1,Z-order,33554560,3716565,11.076185,1029.074,1524.869,2553.944,804.659,true
"iscv2_u2_v4.dds",100,1,Z-order,33554560,3716565,11.076185,2220.374,2132.164,4352.538,2686.679,true
"iscv2_u2_v4.dds",20,1,Z-order,33554560,3716565,11.076185,1524.532,1579.962,3104.495,916.011,true
"iscv2_u2_v4.dds",100,2,Z-order,33554560,3716565,11.076185,3133.200,1819.141,4952.342,1445.096,true
"iscv2_u2_v4.dds",20,2,Z-order,33554560,3716565,11.076185,2036.037,2997.244,5033.281,1489.402,true
